LATITUDE,LONGITUDE,GRAINSIZE
48.40642,-125.19134,4.50851488
48.40668,-125.17784,3.55309105
48.40693,-125.16434,3.28566384
48.40719,-125.15084,2.87302303
48.40744,-125.13733,2.07397127
48.40769,-125.12383,2.04279947
48.40794,-125.11033,1.57660103
48.40818,-125.09682,1.39344537
48.40843,-125.08332,1.28307295
48.40867,-125.06982,2.04270077
48.40892,-125.05631,2.30302405
48.40916,-125.04281,2.93748355
48.40939,-125.02930,3.85133839
48.40963,-125.01580,4.71667624
48.40987,-125.00230,4.96879864
48.41010,-124.98879,4.80314016
48.41034,-124.97529,4.53081846
48.41057,-124.96178,4.76377058
48.41080,-124.94828,3.49899173
48.41102,-124.93477,2.58710217
48.41125,-124.92126,3.36734843
48.41147,-124.90776,3.66577387
48.41170,-124.89425,4.24927235
48.41192,-124.88075,5.16711187
48.41214,-124.86724,5.29539013
48.41236,-124.85373,5.19861698
48.41258,-124.84023,4.84082174
48.41279,-124.82672,4.61879635
48.41300,-124.81321,3.90363407
48.41322,-124.79971,2.92678642
48.41343,-124.78620,2.45333505
48.41364,-124.77269,1.63483536
48.41384,-124.75918,1.32487249
48.41405,-124.74568,0.38255197
48.41425,-124.73217,-0.21104895
48.41446,-124.71866,-0.50156194
48.41466,-124.70515,-1.41316283
48.41486,-124.69164,-1.86620450
48.41505,-124.67813,-1.98835969
48.41525,-124.66463,-1.83854115
48.41544,-124.65112,-1.87342727
48.41564,-124.63761,-1.67912364
48.41583,-124.62410,-0.55077207
48.41602,-124.61059,0.32396227
48.41621,-124.59708,0.70881373
48.41639,-124.58357,1.13007331
48.41658,-124.57006,1.33244741
48.41676,-124.55655,1.53798878
48.41695,-124.54304,1.78772664
48.41713,-124.52953,2.19692826
48.41730,-124.51602,2.58108735
48.41748,-124.50251,2.91655421
48.41766,-124.48900,2.95958686
48.41783,-124.47549,2.85625100
48.41800,-124.46198,3.04588699
48.41817,-124.44847,3.08724093
48.41834,-124.43496,3.01905608
48.41851,-124.42145,3.02579117
48.41868,-124.40793,2.91318250
48.41884,-124.39442,3.16703367
48.41901,-124.38091,3.24723697
48.41917,-124.36740,3.30690598
48.41933,-124.35389,3.34294176
48.41949,-124.34038,3.40382195
48.41964,-124.32686,3.44971013
48.41980,-124.31335,3.51837277
48.39586,-125.27195,3.86643147
48.39613,-125.25846,4.03782463
48.39639,-125.24496,5.00223207
48.39665,-125.23146,5.28499174
48.39691,-125.21796,5.17303896
48.39717,-125.20446,5.52641010
48.39743,-125.19096,4.82930088
48.39769,-125.17746,3.67317557
